              24: 0x800000
         2097151: 0x800001
            6510: 0x800002
         8388607: 0x800003
             189: 0x800004
         8388606: 0x800005
         2708811: 0x800006
            4095: 0x800007
             252: 0x800008
           16383: 0x800009
            1190: 0x80000a
         5586603: 0x80000b
         2613765: 0x80000c
        16777215: 0x80000d OK --> x^24 + x^23 + x^21 + x^20 + 1
         1396395: 0x80000e
         1048572: 0x80000f
        16766977: 0x800010
          127100: 0x800011
          898779: 0x800012
         5586603: 0x800013
         8126402: 0x800014
           11214: 0x800015
            4599: 0x800016
         2446675: 0x800017
          152915: 0x800018
        16766977: 0x800019
        16252897: 0x80001a
          131070: 0x80001b
           82677: 0x80001c
         2708811: 0x80001d
         8388604: 0x80001e
           25575: 0x80001f
              90: 0x800020
         7281799: 0x800021
            4092: 0x800022
         4194303: 0x800023
             381: 0x800024
         2391991: 0x800025
         4587485: 0x800026
            4094: 0x800027
             178: 0x800028
            5115: 0x800029
             630: 0x80002a
         8059039: 0x80002b
         2097151: 0x80002c
         5330388: 0x80002d
         8257473: 0x80002e
         5332341: 0x80002f
          458745: 0x800030
         4194303: 0x800031
            4095: 0x800032
         1354328: 0x800033
        16766977: 0x800034
           32385: 0x800035
         1818894: 0x800036
          197379: 0x800037
         4039455: 0x800038
          163830: 0x800039
         8371713: 0x80003a
         1777447: 0x80003b
         8354820: 0x80003c
            4095: 0x80003d
           29127: 0x80003e
         3145722: 0x80003f
         1048575: 0x800040
         1523526: 0x800041
         8379393: 0x800042
        16777215: 0x800043 OK --> x^24 + x^23 + x^22 + x^17 + 1
          458724: 0x800044
           23405: 0x800045
         1392555: 0x800046
         8355585: 0x800047
          406317: 0x800048
         4873645: 0x800049
          266305: 0x80004a
           18396: 0x80004b
        16646017: 0x80004c
           40005: 0x80004d
         2752470: 0x80004e
          917490: 0x80004f
         2796202: 0x800050
         2391991: 0x800051
         2097151: 0x800052
          429870: 0x800053
         1946910: 0x800054
          110376: 0x800055
         8355585: 0x800056
        16252897: 0x800057
        16777215: 0x800058 OK --> x^24 + x^20 + x^19 + x^17 + 1
         1405509: 0x800059
         1966020: 0x80005a
            4095: 0x80005b
         8126433: 0x80005c
            5355: 0x80005d
         2924187: 0x80005e
         2796202: 0x80005f
         8388607: 0x800060
           24893: 0x800061
        12189603: 0x800062
         1045506: 0x800063
         1048575: 0x800064
           99645: 0x800065
          245640: 0x800066
         2097151: 0x800067
         2097151: 0x800068
         8388604: 0x800069
          344043: 0x80006a
         3119628: 0x80006b
            2046: 0x80006c
        16777215: 0x80006d OK --> x^24 + x^23 + x^21 + x^20 + x^18 + x^17 + 1
         2396745: 0x80006e
           32385: 0x80006f
         3653895: 0x800070
         8371713: 0x800071
           84630: 0x800072
         2303145: 0x800073
         2774315: 0x800074
         4547235: 0x800075
         2391991: 0x800076
            3276: 0x800077
          393204: 0x800078
        12556803: 0x800079
        16777215: 0x80007a OK --> x^24 + x^22 + x^20 + x^19 + x^18 + x^17 + 1
         2621435: 0x80007b
        16252897: 0x80007c
         1040130: 0x80007d
          917490: 0x80007e
         1048575: 0x80007f
              56: 0x800080
          909447: 0x800081
             438: 0x800082
          644805: 0x800083
         8388607: 0x800084
         1310715: 0x800085
         3355443: 0x800086
         7864260: 0x800087
             124: 0x800088
        16252897: 0x800089
             630: 0x80008a
          262143: 0x80008b
         4194303: 0x80008c
         2785110: 0x80008d
          142569: 0x80008e
            4095: 0x80008f
           16383: 0x800090
        16252897: 0x800091
        16777215: 0x800092 OK --> x^24 + x^22 + x^19 + x^16 + 1
         8388606: 0x800093
        13762455: 0x800094
          644805: 0x800095
           16380: 0x800096
          196602: 0x800097
           21845: 0x800098
          380184: 0x800099
         8388607: 0x80009a
         1290555: 0x80009b
          163830: 0x80009c
         2097151: 0x80009d
        12484227: 0x80009e
         8382465: 0x80009f
            3570: 0x8000a0
            4095: 0x8000a1
             510: 0x8000a2
          390915: 0x8000a3
            4095: 0x8000a4
         8354820: 0x8000a5
           49539: 0x8000a6
          114681: 0x8000a7
            2046: 0x8000a8
         8388607: 0x8000a9
            4088: 0x8000aa
           65535: 0x8000ab
           32767: 0x8000ac
         2097151: 0x8000ad
          491505: 0x8000ae
            2046: 0x8000af
           87381: 0x8000b0
         7340018: 0x8000b1
           13335: 0x8000b2
         4194303: 0x8000b3
         6291444: 0x8000b4
          166005: 0x8000b5
        16766977: 0x8000b6
          458745: 0x8000b7
         8388607: 0x8000b8
         2396745: 0x8000b9
            1785: 0x8000ba
           32004: 0x8000bb
         5586603: 0x8000bc
          491460: 0x8000bd
          253890: 0x8000be
        16777215: 0x8000bf OK --> x^24 + x^23 + x^22 + x^21 + x^20 + x^19 + x^18 + x^16 + 1
           86955: 0x8000c0
         1048575: 0x8000c1
        16646017: 0x8000c2
           47244: 0x8000c3
         4194303: 0x8000c4
           31682: 0x8000c5
            4094: 0x8000c6
         5586603: 0x8000c7
          136017: 0x8000c8
         2792790: 0x8000c9
         1966065: 0x8000ca
         1048575: 0x8000cb
          597432: 0x8000cc
          584073: 0x8000cd
         2097151: 0x8000ce
          253921: 0x8000cf
        16548735: 0x8000d0
         6291453: 0x8000d1
         1048572: 0x8000d2
        13762455: 0x8000d3
          128961: 0x8000d4
        16646017: 0x8000d5
           16380: 0x8000d6
         8388606: 0x8000d7
         1720110: 0x8000d8
         5592405: 0x8000d9
        16777215: 0x8000da OK --> x^24 + x^22 + x^20 + x^19 + x^17 + x^16 + 1
         8388607: 0x8000db
         1103249: 0x8000dc
         1376172: 0x8000dd
         2621435: 0x8000de
          516033: 0x8000df
         3808815: 0x8000e0
         7864260: 0x8000e1
         7281799: 0x8000e2
         5592405: 0x8000e3
         2752470: 0x8000e4
        16777215: 0x8000e5 OK --> x^24 + x^23 + x^21 + x^18 + x^17 + x^16 + 1
         4740365: 0x8000e6
         6291453: 0x8000e7
          178481: 0x8000e8
         5504982: 0x8000e9
         5592405: 0x8000ea
         7340018: 0x8000eb
          522753: 0x8000ec
         7864305: 0x8000ed
         1048572: 0x8000ee
        16766977: 0x8000ef
          132860: 0x8000f0
          524286: 0x8000f1
          129921: 0x8000f2
         8388607: 0x8000f3
          114681: 0x8000f4
          419430: 0x8000f5
         8388607: 0x8000f6
        16252897: 0x8000f7
          712845: 0x8000f8
         2793131: 0x8000f9
         8388606: 0x8000fa
         4194303: 0x8000fb
          917490: 0x8000fc
          266305: 0x8000fd
        15603855: 0x8000fe
           95480: 0x8000ff
             651: 0x800100
           74896: 0x800101
         1676493: 0x800102
        11010027: 0x800103
             126: 0x800104
          430185: 0x800105
        16646017: 0x800106
         8388607: 0x800107
           69615: 0x800108
           25575: 0x800109
         1392555: 0x80010a
         8126402: 0x80010b
         1048575: 0x80010c
          262143: 0x80010d
         8388604: 0x80010e
         5201285: 0x80010f
         1269140: 0x800110
          778764: 0x800111
        16777215: 0x800112 OK --> x^24 + x^22 + x^19 + x^15 + 1
         8388607: 0x800113
        16646017: 0x800114
          983010: 0x800115
         2031585: 0x800116
          524286: 0x800117
         4194303: 0x800118
         8388607: 0x800119
           71610: 0x80011a
          522753: 0x80011b
         8388607: 0x80011c
         2396745: 0x80011d
           58254: 0x80011e
         2064132: 0x80011f
             279: 0x800120
        16252897: 0x800121
            4599: 0x800122
         3669988: 0x800123
             651: 0x800124
         8388607: 0x800125
         8322818: 0x800126
         3808815: 0x800127
        16777215: 0x800128 OK --> x^24 + x^20 + x^18 + x^15 + 1
          196602: 0x800129
         8388607: 0x80012a
        16777215: 0x80012b OK --> x^24 + x^23 + x^22 + x^20 + x^18 + x^15 + 1
         1195740: 0x80012c
          430185: 0x80012d
         1720110: 0x80012e
            7140: 0x80012f
        16646017: 0x800130
         2580165: 0x800131
           21336: 0x800132
        16766977: 0x800133
           23205: 0x800134
        12189603: 0x800135
        16777215: 0x800136 OK --> x^24 + x^22 + x^21 + x^19 + x^18 + x^15 + 1
         8322818: 0x800137
         8322818: 0x800138
            9709: 0x800139
         5592405: 0x80013a
         3145722: 0x80013b
          436905: 0x80013c
         2784940: 0x80013d
         2613765: 0x80013e
         1864135: 0x80013f
           71610: 0x800140
         2391991: 0x800141
          278511: 0x800142
          983010: 0x800143
         5592405: 0x800144
           16380: 0x800145
           57316: 0x800146
           87381: 0x800147
         3355443: 0x800148
         8388607: 0x800149
         8376324: 0x80014a
        11010027: 0x80014b
          128397: 0x80014c
         4587485: 0x80014d
         1118481: 0x80014e
         8126402: 0x80014f
          257922: 0x800150
         7340018: 0x800151
           19685: 0x800152
          159783: 0x800153
         2079752: 0x800154
           24893: 0x800155
          491505: 0x800156
          417741: 0x800157
         8388607: 0x800158
         4194303: 0x800159
         1003935: 0x80015a
          131068: 0x80015b
         2097151: 0x80015c
           86955: 0x80015d
         6241542: 0x80015e
         5586603: 0x80015f
        16252897: 0x800160
          262143: 0x800161
         8388606: 0x800162
         1048575: 0x800163
         8388607: 0x800164
          114681: 0x800165
         4194303: 0x800166
         4194296: 0x800167
            5460: 0x800168
            4095: 0x800169
         4886189: 0x80016a
         8388607: 0x80016b
          349525: 0x80016c
         8126402: 0x80016d
         8388607: 0x80016e
          419430: 0x80016f
         7864305: 0x800170
           95325: 0x800171
        14658567: 0x800172
           71610: 0x800173
         4194303: 0x800174
         2752491: 0x800175
           92820: 0x800176
          294903: 0x800177
        15997023: 0x800178
         2720340: 0x800179
          507780: 0x80017a
         5374005: 0x80017b
          487186: 0x80017c
        12556803: 0x80017d
         3355443: 0x80017e
           32767: 0x80017f
         8388607: 0x800180
         3555111: 0x800181
          644805: 0x800182
         2796202: 0x800183
        16252897: 0x800184
         8322945: 0x800185
         1572852: 0x800186
         1290555: 0x800187
         4194303: 0x800188
          173740: 0x800189
          909447: 0x80018a
          973455: 0x80018b
         7340018: 0x80018c
        16252897: 0x80018d
         2391991: 0x80018e
         6291453: 0x80018f
         2391991: 0x800190
         2580165: 0x800191
            8190: 0x800192
           28086: 0x800193
           19530: 0x800194
         1862201: 0x800195
         2097151: 0x800196
         8388604: 0x800197
         4062984: 0x800198
           65535: 0x800199
          107415: 0x80019a
           45479: 0x80019b
             255: 0x80019c
            2046: 0x80019d
         8371713: 0x80019e
          226695: 0x80019f
           69615: 0x8001a0
         1154130: 0x8001a1
            1533: 0x8001a2
          986895: 0x8001a3
          236220: 0x8001a4
        11010027: 0x8001a5
         5586603: 0x8001a6
         8388607: 0x8001a7
         8371713: 0x8001a8
         5393845: 0x8001a9
          349525: 0x8001aa
          524280: 0x8001ab
          349524: 0x8001ac
         8388607: 0x8001ad
          346710: 0x8001ae
         2097151: 0x8001af
         6276102: 0x8001b0
        16777215: 0x8001b1 OK --> x^24 + x^23 + x^19 + x^18 + x^16 + x^15 + 1
          262143: 0x8001b2
          344043: 0x8001b3
        16777215: 0x8001b4 OK --> x^24 + x^21 + x^19 + x^18 + x^16 + x^15 + 1
          286580: 0x8001b5
         8257473: 0x8001b6
         3808815: 0x8001b7
            9709: 0x8001b8
          140430: 0x8001b9
          131068: 0x8001ba
        16646017: 0x8001bb
         2790571: 0x8001bc
         2391991: 0x8001bd
         4194303: 0x8001be
           64770: 0x8001bf
           93093: 0x8001c0
         8257473: 0x8001c1
         2784940: 0x8001c2
           65535: 0x8001c3
         2613765: 0x8001c4
        16646017: 0x8001c5
        16122015: 0x8001c6
           28644: 0x8001c7
         2796202: 0x8001c8
           86955: 0x8001c9
          948073: 0x8001ca
         8388607: 0x8001cb
        14221095: 0x8001cc
         4194296: 0x8001cd
           18135: 0x8001ce
        16378047: 0x8001cf
         7340025: 0x8001d0
            8190: 0x8001d1
         2097150: 0x8001d2
         8126340: 0x8001d3
         2391991: 0x8001d4
         6291453: 0x8001d5
          873810: 0x8001d6
        16777215: 0x8001d7 OK --> x^24 + x^23 + x^22 + x^21 + x^19 + x^17 + x^16 + x^15 + 1
         5592405: 0x8001d8
         8388606: 0x8001d9
         7340025: 0x8001da
          279279: 0x8001db
          349524: 0x8001dc
           13335: 0x8001dd
           87381: 0x8001de
         8126433: 0x8001df
         1048572: 0x8001e0
        16777215: 0x8001e1 OK --> x^24 + x^23 + x^18 + x^17 + x^16 + x^15 + 1
           87381: 0x8001e2
         2094081: 0x8001e3
          183498: 0x8001e4
          557022: 0x8001e5
         2794155: 0x8001e6
        16777215: 0x8001e7 OK --> x^24 + x^23 + x^22 + x^21 + x^18 + x^17 + x^16 + x^15 + 1
             255: 0x8001e8
           32767: 0x8001e9
          229362: 0x8001ea
         2011807: 0x8001eb
         8382465: 0x8001ec
         2097150: 0x8001ed
        16252897: 0x8001ee
            1020: 0x8001ef
        16646017: 0x8001f0
           99060: 0x8001f1
         8371713: 0x8001f2
          294903: 0x8001f3
