            4681: 0x8107
            7905: 0x8108
            3069: 0x8109
           65535: 0x810a OK --> x^16 + x^14 + x^12 + x^7 + 1
            1246: 0x810b
           65535: 0x810c OK --> x^16 + x^13 + x^12 + x^7 + 1
            3810: 0x810d
           28644: 0x810e
           16383: 0x810f
            1092: 0x8110
           57337: 0x8111
           65535: 0x8112 OK --> x^16 + x^14 + x^11 + x^7 + 1
            3570: 0x8113
           16383: 0x8114
           32766: 0x8115
            4599: 0x8116
           65535: 0x8117 OK --> x^16 + x^15 + x^14 + x^13 + x^11 + x^7 + 1
           57337: 0x8118
            9765: 0x8119
             510: 0x811a
             255: 0x811b
              91: 0x811c
           16383: 0x811d
           59055: 0x811e
           32764: 0x811f
           32385: 0x8120
           63457: 0x8121
           42987: 0x8122
            3276: 0x8123
           63457: 0x8124
             651: 0x8125
           32766: 0x8126
            1365: 0x8127
            7665: 0x8128
            1302: 0x8129
           32767: 0x812a
            5115: 0x812b
            1524: 0x812c
           21845: 0x812d
           65535: 0x812e OK --> x^16 + x^14 + x^13 + x^12 + x^10 + x^7 + 1
            4681: 0x812f
           16383: 0x8130
           30705: 0x8131
            4760: 0x8132
           63457: 0x8133
            1022: 0x8134
           21845: 0x8135
           65535: 0x8136 OK --> x^16 + x^14 + x^13 + x^11 + x^10 + x^7 + 1
            8190: 0x8137
             210: 0x8138
            1638: 0x8139
           21845: 0x813a
           32767: 0x813b
           64897: 0x813c
           32764: 0x813d
            8001: 0x813e
            1778: 0x813f
             126: 0x8140
            4095: 0x8141
           65535: 0x8142 OK --> x^16 + x^14 + x^9 + x^7 + 1
           32767: 0x8143
             315: 0x8144
           16380: 0x8145
            4599: 0x8146
            4092: 0x8147
           65535: 0x8148 OK --> x^16 + x^12 + x^9 + x^7 + 1
           24573: 0x8149
           10540: 0x814a
           57337: 0x814b
           30705: 0x814c
            2667: 0x814d
             381: 0x814e
           32766: 0x814f
           65535: 0x8150 OK --> x^16 + x^11 + x^9 + x^7 + 1
           10922: 0x8151
            3810: 0x8152
           63457: 0x8153
            8184: 0x8154
            5115: 0x8155
           57337: 0x8156
            4095: 0x8157
            1023: 0x8158
           21845: 0x8159
           11067: 0x815a
            7620: 0x815b
           16383: 0x815c
           27559: 0x815d
           31682: 0x815e
             255: 0x815f
           64897: 0x8160
           32767: 0x8161
           32766: 0x8162
            1953: 0x8163
           24573: 0x8164
             315: 0x8165
           13107: 0x8166
             840: 0x8167
           31620: 0x8168
           21845: 0x8169
           47523: 0x816a
           32767: 0x816b
            8001: 0x816c
            2046: 0x816d
            1022: 0x816e
           63457: 0x816f
            1057: 0x8170
            3570: 0x8171
           65535: 0x8172 OK --> x^16 + x^14 + x^11 + x^10 + x^9 + x^7 + 1
           31682: 0x8173
            7665: 0x8174
           32767: 0x8175
            4092: 0x8176
           63457: 0x8177
            8190: 0x8178
             924: 0x8179
             595: 0x817a
           13107: 0x817b
             254: 0x817c
           13107: 0x817d
             315: 0x817e
           24573: 0x817f
           32767: 0x8180
           63457: 0x8181
            4095: 0x8182
             126: 0x8183
            6510: 0x8184
             341: 0x8185
           30660: 0x8186
            2667: 0x8187
           21483: 0x8188
           16380: 0x8189
            7161: 0x818a
           21845: 0x818b
           32766: 0x818c
             381: 0x818d
           65535: 0x818e OK --> x^16 + x^14 + x^13 + x^12 + x^8 + x^7 + 1
            4095: 0x818f
           57337: 0x8190
            1524: 0x8191
           28658: 0x8192
             255: 0x8193
              93: 0x8194
           59055: 0x8195
           16383: 0x8196
           31620: 0x8197
           12264: 0x8198
           57337: 0x8199
           21845: 0x819a
            4599: 0x819b
            4369: 0x819c
             210: 0x819d
           32767: 0x819e
           16383: 0x819f
            5115: 0x81a0
            2142: 0x81a1
            2159: 0x81a2
            2555: 0x81a3
            9548: 0x81a4
           65535: 0x81a5 OK --> x^16 + x^15 + x^13 + x^10 + x^8 + x^7 + 1
           21845: 0x81a6
            2667: 0x81a7
             819: 0x81a8
           42987: 0x81a9
           63457: 0x81aa
             744: 0x81ab
           63457: 0x81ac
           32767: 0x81ad
            2046: 0x81ae
            1365: 0x81af
           10710: 0x81b0
           63457: 0x81b1
           16383: 0x81b2
            1785: 0x81b3
           65535: 0x81b4 OK --> x^16 + x^13 + x^11 + x^10 + x^8 + x^7 + 1
            7140: 0x81b5
            9765: 0x81b6
           21845: 0x81b7
           65535: 0x81b8 OK --> x^16 + x^12 + x^11 + x^10 + x^8 + x^7 + 1
            6477: 0x81b9
           15748: 0x81ba
            1170: 0x81bb
            7665: 0x81bc
            9271: 0x81bd
            1778: 0x81be
           31682: 0x81bf
             315: 0x81c0
             511: 0x81c1
           24564: 0x81c2
           65535: 0x81c3 OK --> x^16 + x^15 + x^14 + x^9 + x^8 + x^7 + 1
           32767: 0x81c4
            8190: 0x81c5
           65535: 0x81c6 OK --> x^16 + x^14 + x^13 + x^9 + x^8 + x^7 + 1
           32766: 0x81c7
           32766: 0x81c8
           63457: 0x81c9
            7665: 0x81ca
             930: 0x81cb
            3570: 0x81cc
           16376: 0x81cd
           10795: 0x81ce
           65535: 0x81cf OK --> x^16 + x^15 + x^14 + x^13 + x^12 + x^9 + x^8 + x^7 + 1
            1302: 0x81d0
           65535: 0x81d1 OK --> x^16 + x^15 + x^11 + x^9 + x^8 + x^7 + 1
             315: 0x81d2
           32004: 0x81d3
           64897: 0x81d4
           32767: 0x81d5
           28658: 0x81d6
            1953: 0x81d7
           63457: 0x81d8
             510: 0x81d9
            4681: 0x81da
            8001: 0x81db
            2044: 0x81dc
           21845: 0x81dd
           47523: 0x81de
            1270: 0x81df
           30660: 0x81e0
            5115: 0x81e1
           57337: 0x81e2
           32767: 0x81e3
           63457: 0x81e4
           10922: 0x81e5
            7161: 0x81e6
           13107: 0x81e7
           16383: 0x81e8
           32767: 0x81e9
           32766: 0x81ea
              85: 0x81eb
           30705: 0x81ec
           18445: 0x81ed
           65535: 0x81ee OK --> x^16 + x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + 1
            2604: 0x81ef
            8001: 0x81f0
           32764: 0x81f1
             341: 0x81f2
             381: 0x81f3
            2730: 0x81f4
           57337: 0x81f5
            3855: 0x81f6
           10795: 0x81f7
            1365: 0x81f8
            1365: 0x81f9
            4092: 0x81fa
             868: 0x81fb
           65535: 0x81fc OK --> x^16 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + 1
           24573: 0x81fd
            1240: 0x81fe
            1365: 0x81ff
             434: 0x8200
           10235: 0x8201
             120: 0x8202
           42987: 0x8203
            8001: 0x8204
            4369: 0x8205
           64897: 0x8206
           32766: 0x8207
             210: 0x8208
           64897: 0x8209
             126: 0x820a
           32767: 0x820b
              85: 0x820c
            7140: 0x820d
           32767: 0x820e
             651: 0x820f
           32767: 0x8210
             315: 0x8211
           13107: 0x8212
           16380: 0x8213
           65535: 0x8214 OK --> x^16 + x^13 + x^11 + x^6 + 1
             315: 0x8215
            2730: 0x8216
           55335: 0x8217
           16383: 0x8218
           32766: 0x8219
           27559: 0x821a
           21483: 0x821b
           32764: 0x821c
           63457: 0x821d
            2555: 0x821e
            6132: 0x821f
              60: 0x8220
           21483: 0x8221
             510: 0x8222
            1785: 0x8223
            7665: 0x8224
           32766: 0x8225
            1023: 0x8226
           16383: 0x8227
             510: 0x8228
           24573: 0x8229
             254: 0x822a
           65535: 0x822b OK --> x^16 + x^15 + x^14 + x^12 + x^10 + x^6 + 1
            4599: 0x822c
           63457: 0x822d
           42987: 0x822e
           28644: 0x822f
           21845: 0x8230
           16376: 0x8231
             651: 0x8232
           65535: 0x8233 OK --> x^16 + x^15 + x^14 + x^11 + x^10 + x^6 + 1
            1302: 0x8234
            8190: 0x8235
           13107: 0x8236
           30705: 0x8237
            6477: 0x8238
            7161: 0x8239
             585: 0x823a
            8190: 0x823b
            5355: 0x823c
            1023: 0x823d
           32764: 0x823e
            4095: 0x823f
           32385: 0x8240
           65535: 0x8241 OK --> x^16 + x^15 + x^9 + x^6 + 1
           47523: 0x8242
             310: 0x8243
           65535: 0x8244 OK --> x^16 + x^13 + x^9 + x^6 + 1
           24573: 0x8245
             252: 0x8246
           59055: 0x8247
           65535: 0x8248 OK --> x^16 + x^12 + x^9 + x^6 + 1
           32764: 0x8249
           32385: 0x824a
            3066: 0x824b
            2730: 0x824c
            4774: 0x824d
             585: 0x824e
           32767: 0x824f
           42987: 0x8250
            1022: 0x8251
           10710: 0x8252
           21845: 0x8253
           32767: 0x8254
           64897: 0x8255
           13107: 0x8256
            2040: 0x8257
           32764: 0x8258
           16383: 0x8259
           21845: 0x825a
             819: 0x825b
            2555: 0x825c
             930: 0x825d
            3810: 0x825e
           65535: 0x825f OK --> x^16 + x^15 + x^14 + x^13 + x^12 + x^11 + x^9 + x^6 + 1
           65535: 0x8260 OK --> x^16 + x^10 + x^9 + x^6 + 1
            5334: 0x8261
           10235: 0x8262
            7161: 0x8263
           16376: 0x8264
            8001: 0x8265
           16383: 0x8266
            4599: 0x8267
             315: 0x8268
           21483: 0x8269
           57337: 0x826a
           32004: 0x826b
           59055: 0x826c
           32767: 0x826d
           32766: 0x826e
             381: 0x826f
           32766: 0x8270
           64897: 0x8271
           57337: 0x8272
           24573: 0x8273
             372: 0x8274
            1020: 0x8275
           32767: 0x8276
           57337: 0x8277
           63457: 0x8278
            1023: 0x8279
            2604: 0x827a
            4095: 0x827b
             315: 0x827c
            5115: 0x827d
           13107: 0x827e
           28658: 0x827f
             254: 0x8280
           42987: 0x8281
             434: 0x8282
            1023: 0x8283
           13107: 0x8284
           10220: 0x8285
           24573: 0x8286
           64897: 0x8287
             126: 0x8288
            1785: 0x8289
             252: 0x828a
           64897: 0x828b
            4095: 0x828c
             255: 0x828d
            1953: 0x828e
             510: 0x828f
             651: 0x8290
           32766: 0x8291
           32385: 0x8292
           16383: 0x8293
            1428: 0x8294
           63457: 0x8295
            7665: 0x8296
            4599: 0x8297
           32767: 0x8298
           65535: 0x8299 OK --> x^16 + x^15 + x^12 + x^11 + x^8 + x^6 + 1
             105: 0x829a
           14280: 0x829b
           21845: 0x829c
           12282: 0x829d
           10922: 0x829e
           11067: 0x829f
              34: 0x82a0
            1023: 0x82a1
              84: 0x82a2
           65535: 0x82a3 OK --> x^16 + x^15 + x^14 + x^10 + x^8 + x^6 + 1
            1905: 0x82a4
           42987: 0x82a5
           63457: 0x82a6
           32764: 0x82a7
             248: 0x82a8
           21483: 0x82a9
             170: 0x82aa
            7905: 0x82ab
           16383: 0x82ac
           32766: 0x82ad
           27559: 0x82ae
            7665: 0x82af
           24573: 0x82b0
            4369: 0x82b1
           21845: 0x82b2
            3906: 0x82b3
           65535: 0x82b4 OK --> x^16 + x^13 + x^11 + x^10 + x^8 + x^6 + 1
            4095: 0x82b5
           32764: 0x82b6
            2730: 0x82b7
            7161: 0x82b8
            4092: 0x82b9
           32767: 0x82ba
            4095: 0x82bb
           10230: 0x82bc
            1365: 0x82bd
             765: 0x82be
           32385: 0x82bf
            5115: 0x82c0
           32764: 0x82c1
           32767: 0x82c2
           65535: 0x82c3 OK --> x^16 + x^15 + x^14 + x^9 + x^8 + x^6 + 1
             254: 0x82c4
            4095: 0x82c5
           63457: 0x82c6
             210: 0x82c7
            4599: 0x82c8
             372: 0x82c9
           57337: 0x82ca
           32766: 0x82cb
           57337: 0x82cc
            1533: 0x82cd
            1752: 0x82ce
           64897: 0x82cf
             868: 0x82d0
            8001: 0x82d1
           16383: 0x82d2
           32385: 0x82d3
           21483: 0x82d4
            8190: 0x82d5
           30705: 0x82d6
            4369: 0x82d7
           19685: 0x82d8
           30705: 0x82d9
           28658: 0x82da
             381: 0x82db
           12282: 0x82dc
           57337: 0x82dd
           21483: 0x82de
           16380: 0x82df
            4095: 0x82e0
           65535: 0x82e1 OK --> x^16 + x^15 + x^10 + x^9 + x^8 + x^6 + 1
           64897: 0x82e2
            1860: 0x82e3
           42987: 0x82e4
            1533: 0x82e5
           10230: 0x82e6
           21845: 0x82e7
            4369: 0x82e8
           28658: 0x82e9
           24573: 0x82ea
            7665: 0x82eb
           15748: 0x82ec
           16383: 0x82ed
           65535: 0x82ee OK --> x^16 + x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^6 + 1
            4599: 0x82ef
            4095: 0x82f0
            7905: 0x82f1
            4380: 0x82f2
           14322: 0x82f3
             341: 0x82f4
           65535: 0x82f5 OK --> x^16 + x^15 + x^13 + x^11 + x^10 + x^9 + x^8 + x^6 + 1
            3066: 0x82f6
            1530: 0x82f7
            8190: 0x82f8
           19685: 0x82f9
           21845: 0x82fa
           32767: 0x82fb
           21845: 0x82fc
             504: 0x82fd
            4095: 0x82fe
           47523: 0x82ff
            1581: 0x8300
           57337: 0x8301
           57337: 0x8302
            2032: 0x8303
             255: 0x8304
           32385: 0x8305
           10230: 0x8306
             630: 0x8307
            3069: 0x8308
             510: 0x8309
            4095: 0x830a
           21483: 0x830b
           32764: 0x830c
             255: 0x830d
            4092: 0x830e
            4095: 0x830f
           63457: 0x8310
           32767: 0x8311
             372: 0x8312
           64897: 0x8313
            9765: 0x8314
            2604: 0x8315
            4095: 0x8316
           28658: 0x8317
           28658: 0x8318
            9271: 0x8319
           63457: 0x831a
           12282: 0x831b
            2604: 0x831c
           32004: 0x831d
           32767: 0x831e
             585: 0x831f
           65535: 0x8320 OK --> x^16 + x^10 + x^7 + x^6 + 1
           13020: 0x8321
            4681: 0x8322
           16383: 0x8323
            2046: 0x8324
           65535: 0x8325 OK --> x^16 + x^15 + x^13 + x^10 + x^7 + x^6 + 1
           57337: 0x8326
            1023: 0x8327
           10235: 0x8328
           65535: 0x8329 OK --> x^16 + x^15 + x^12 + x^10 + x^7 + x^6 + 1
           16383: 0x832a
           32766: 0x832b
           57337: 0x832c
             315: 0x832d
           32764: 0x832e
           21845: 0x832f
            4760: 0x8330
             126: 0x8331
            4095: 0x8332
           32767: 0x8333
            1365: 0x8334
           10922: 0x8335
            7161: 0x8336
            4095: 0x8337
           16383: 0x8338
           32385: 0x8339
           10922: 0x833a
             217: 0x833b
            1023: 0x833c
